Code,Ranking,3,Nation,GDP
USA,1,NaN,United States," 18,036,648 "
CHN,2,NaN,China," 11,007,721 "
JPN,3,NaN,Japan," 4,123,258 "
DEU,4,NaN,Germany," 3,363,447 "
GBR,5,NaN,United Kingdom," 2,858,003 "
FRA,6,NaN,France," 2,418,836 "
IND,7,NaN,India," 2,095,398 "
ITA,8,NaN,Italy," 1,821,497 "
BRA,9,NaN,Brazil," 1,774,725 "
CAN,10,NaN,Canada," 1,550,537 "
KOR,11,NaN,"Korea, Rep."," 1,377,873 "
AUS,12,NaN,Australia," 1,339,141 "
RUS,13,NaN,Russian Federation," 1,331,208 "
ESP,14,NaN,Spain," 1,199,057 "
MEX,15,NaN,Mexico," 1,143,793 "
IDN,16,NaN,Indonesia," 861,934 "
NLD,17,NaN,Netherlands," 750,284 "
TUR,18,NaN,Turkey," 717,880 "
CHE,19,NaN,Switzerland," 670,790 "
SAU,20,NaN,Saudi Arabia," 646,002 "
ARG,21,NaN,Argentina," 583,169 "
SWE,22,NaN,Sweden," 495,624 "
NGA,23,NaN,Nigeria," 481,066 "
POL,24,NaN,Poland," 477,066 "
BEL,25,NaN,Belgium," 455,086 "
IRN,26,NaN,"Iran, Islamic Rep."," 425,326 "
THA,27,NaN,Thailand," 395,168 "
NOR,28,NaN,Norway," 386,578 "
AUT,29,NaN,Austria," 376,950 "
ARE,30,NaN,United Arab Emirates," 370,296 "
EGY,31,NaN,"Egypt, Arab Rep."," 330,779 "
ZAF,32,NaN,South Africa," 314,572 "
HKG,33,NaN,"Hong Kong SAR, China"," 309,235 "
ISR,34,NaN,Israel," 299,416 "
MYS,35,NaN,Malaysia," 296,283 "
DNK,36,NaN,Denmark," 295,091 "
SGP,37,NaN,Singapore," 292,739 "
PHL,38,NaN,Philippines," 292,451 "
COL,39,NaN,Colombia," 292,080 "
IRL,40,NaN,Ireland," 283,703 "
PAK,41,NaN,Pakistan," 271,050 "
CHL,42,NaN,Chile," 240,796 "
FIN,43,NaN,Finland," 231,950 "
PRT,44,NaN,Portugal," 198,923 "
BGD,45,NaN,Bangladesh," 195,079 "
GRC,46,NaN,Greece," 194,851 "
VNM,47,NaN,Vietnam," 193,599 "
PER,48,NaN,Peru," 189,111 "
CZE,49,NaN,Czech Republic," 185,156 "
KAZ,50,NaN,Kazakhstan," 184,388 "
